[2022-11-10 10:38:15,472] [140459281016640] 开始清理日志文件
[2022-11-10 10:38:15,536] [140459281016640] findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0.
[2022-11-10 10:38:15,536] [140459281016640] findfont: score(FontEntry(fname='/home/arl/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2022-11-10 10:38:15,537] [140459281016640] findfont: score(FontEntry(fname='/home/arl/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2022-11-10 10:38:15,537] [140459281016640] findfont: score(FontEntry(fname='/home/arl/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2022-11-10 10:38:15,537] [140459281016640] findfont: score(FontEntry(fname='/home/arl/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2022-11-10 10:38:15,537] [140459281016640] findfont: score(FontEntry(fname='/home/arl/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2022-11-10 10:38:15,537] [140459281016640] findfont: score(FontEntry(fname='/home/arl/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2022-11-10 10:38:15,537] [140459281016640] findfont: score(FontEntry(fname='/home/arl/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2022-11-10 10:38:15,537] [140459281016640] findfont: score(FontEntry(fname='/home/arl/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2022-11-10 10:38:15,537] [140459281016640] findfont: score(FontEntry(fname='/home/arl/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2022-11-10 10:38:15,537] [140459281016640] findfont: score(FontEntry(fname='/home/arl/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2022-11-10 10:38:15,537] [140459281016640] findfont: score(FontEntry(fname='/home/arl/.local/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
